# ID,label,height,hw_ratio,2d_density,sphericity
   0.00000,   0.00000,   5.02000,   0.73232,  38.49793,   0.01788
   1.00000,   0.00000,   3.60000,   0.49346,  39.00557,   0.05832
   2.00000,   0.00000,   7.49000,   0.48357,  37.31486,   0.15586
   3.00000,   0.00000,   7.07000,   0.43366,  38.67346,   0.15477
   4.00000,   0.00000,   5.21000,   0.28552,  36.41466,   0.04267
   5.00000,   0.00000,   3.70000,   0.36575,  33.06717,   0.04635
   6.00000,   0.00000,   1.66000,   0.17913,  37.68288,   0.03123
   7.00000,   0.00000,   3.75000,   0.19603,  35.16768,   0.44099
   8.00000,   0.00000,   5.77000,   0.38225,  33.92091,   0.28252
   9.00000,   0.00000,   6.66000,   0.49580,  30.84051,   0.15441
  10.00000,   0.00000,   3.59000,   0.25848,  37.22765,   0.22234
  11.00000,   0.00000,   6.65000,   0.39943,  35.33745,   0.18365
  12.00000,   0.00000,   4.32000,   0.60998,  37.96001,   0.13135
  13.00000,   0.00000,   5.85000,   0.44534,  34.98544,   0.11311
  14.00000,   0.00000,   4.82000,   0.35509,  38.97842,   0.05667
  15.00000,   0.00000,   9.57000,   0.34582,  34.41076,   0.38580
  16.00000,   0.00000,   5.06000,   0.43228,  39.25908,   0.05580
  17.00000,   0.00000,   2.72000,   0.18818,  33.55090,   0.02356
  18.00000,   0.00000,   2.92000,   0.52286,  35.84597,   0.09989
  19.00000,   0.00000,   5.88000,   0.46837,  38.18369,   0.23290
  20.00000,   0.00000,   6.99000,   0.55363,  38.30426,   0.17660
  21.00000,   0.00000,   4.37000,   0.31791,  34.97703,   0.03529
  22.00000,   0.00000,   8.13000,   0.37462,  38.36380,   0.07043
  23.00000,   0.00000,   8.38000,   0.42447,  36.89659,   0.03085
  24.00000,   0.00000,   4.66000,   0.31750,  35.21519,   0.20589
  25.00000,   0.00000,   2.12000,   0.20167,  31.13742,   0.03219
  26.00000,   0.00000,   7.72000,   0.48874,  39.04505,   0.09006
  27.00000,   0.00000,   3.03000,   0.33832,  27.35293,   0.08748
  28.00000,   0.00000,   5.61000,   0.41617,  37.71427,   0.29452
  29.00000,   0.00000,   4.31000,   0.25130,  33.41534,   0.06256
  30.00000,   0.00000,   7.49000,   0.45616,  36.84669,   0.13752
  31.00000,   0.00000,   7.64000,   0.40353,  37.91010,   0.08029
  32.00000,   0.00000,   3.53000,   0.33235,  32.49578,   0.07062
  33.00000,   0.00000,   6.90000,   0.90613,  32.71500,   0.25115
  34.00000,   0.00000,   8.35000,   0.38620,  28.50326,   0.12577
  35.00000,   0.00000,   6.74000,   0.47654,  37.03196,   0.22162
  36.00000,   0.00000,   7.29000,   0.57254,  38.23646,   0.21799
  37.00000,   0.00000,   6.93000,   0.45235,  35.94304,   0.10219
  38.00000,   0.00000,   5.82000,   0.43327,  32.04916,   0.10829
  39.00000,   0.00000,   2.85000,   0.45227,  31.05048,   0.03445
  40.00000,   0.00000,   3.44000,   0.48325,  32.14786,   0.25235
  41.00000,   0.00000,   3.50000,   0.41678,  40.08675,   0.03172
  42.00000,   0.00000,   6.76000,   0.44152,  33.31246,   0.20054
  43.00000,   0.00000,   8.13000,   0.49664,  30.73040,   0.23095
  44.00000,   0.00000,   4.83000,   0.28411,  33.46198,   0.65913
  45.00000,   0.00000,   6.61000,   0.50742,  38.24561,   0.15028
  46.00000,   0.00000,   8.29000,   0.75334,  28.45708,   0.31291
  47.00000,   0.00000,   8.00000,   0.41656,  38.26780,   0.04306
  48.00000,   0.00000,   5.52000,   0.55761,  33.01066,   0.13891
  49.00000,   0.00000,   7.57000,   0.63218,  40.67360,   0.25218
  50.00000,   0.00000,   4.89000,   0.33327,  34.42363,   0.16905
  51.00000,   0.00000,   4.82000,   0.32635,  37.63688,   0.16337
  52.00000,   0.00000,   9.35000,   0.47182,  32.60950,   0.07398
  53.00000,   0.00000,   4.15000,   0.49010,  36.95936,   0.11532
  54.00000,   0.00000,  10.97000,   0.58445,  38.79368,   0.02334
  55.00000,   0.00000,   9.15000,   0.47276,  38.00163,   0.24894
  56.00000,   0.00000,   4.78000,   0.37259,  36.74586,   0.03228
  57.00000,   0.00000,   6.45000,   0.41013,  37.87654,   0.19456
  58.00000,   0.00000,   3.58000,   0.46619,  38.15356,   0.09615
  59.00000,   0.00000,   4.30000,   0.29021,  35.41046,   0.02876
  60.00000,   0.00000,   9.45000,   0.16024,  36.11293,   0.08772
  61.00000,   0.00000,   4.85000,   0.38541,  36.05188,   0.54309
  62.00000,   0.00000,   5.33000,   0.50390,  39.09486,   0.50424
  63.00000,   0.00000,   3.71000,   0.34614,  37.40525,   0.03398
