# ID,label,height,hw_ratio,height_var,root_density,cmass_density,2d_density,2d_hull_area,shape_index,compactness,linearity,sphericity
   0.00000,   0.00000,   5.02000,   0.73232,   0.50078,   0.00221,   0.00663,  38.49793,  46.98954,   1.64152,   0.44169,   0.70143,   0.01788
   1.00000,   0.00000,   3.60000,   0.49346,   0.64631,   0.03324,   0.00000,  39.00557,  53.22318,   1.86922,   0.71693,   0.22824,   0.05832
   2.00000,   0.00000,   7.49000,   0.48357,   2.10870,   0.00592,   0.00000,  37.31486, 239.90445,   4.01883,   0.69447,   0.36718,   0.15586
   3.00000,   0.00000,   7.07000,   0.43366,   2.43769,   0.00146,   0.00000,  38.67346, 265.78952,   4.28723,   0.70602,   0.59589,   0.15477
   4.00000,   0.00000,   5.21000,   0.28552,   0.59793,   0.00313,   0.00000,  36.41466, 332.97028,   4.87980,   0.63461,   0.19935,   0.04267
   5.00000,   0.00000,   3.70000,   0.36575,   0.39505,   0.01123,   0.00000,  33.06717, 102.33717,   2.63021,   0.62004,   0.13887,   0.04635
   6.00000,   0.00000,   1.66000,   0.17913,   0.17564,   0.23239,   0.00000,  37.68288,  85.87453,   2.36997,   0.55442,   0.58984,   0.03123
   7.00000,   0.00000,   3.75000,   0.19603,   0.41666,   0.12929,   0.00225,  35.16768, 365.96097,   4.82694,   0.59268,   0.33788,   0.44099
   8.00000,   0.00000,   5.77000,   0.38225,   0.65017,   0.01203,   0.00323,  33.92091, 227.85353,   3.97012,   0.64960,   0.34282,   0.28252
   9.00000,   0.00000,   6.66000,   0.49580,   1.48691,   0.00485,   0.00000,  30.84051, 180.44446,   3.25629,   0.67348,   0.71332,   0.15441
  10.00000,   0.00000,   3.59000,   0.25848,   0.32180,   0.00042,   0.00000,  37.22765, 192.89429,   3.51677,   0.47108,   0.10398,   0.22234
  11.00000,   0.00000,   6.65000,   0.39943,   2.07684,   0.00225,   0.00000,  35.33745, 277.18469,   4.48349,   0.59080,   0.37830,   0.18365
  12.00000,   0.00000,   4.32000,   0.60998,   0.48706,   0.01471,   0.00000,  37.96001,  50.15804,   1.82713,   0.65306,   0.36896,   0.13135
  13.00000,   0.00000,   5.85000,   0.44534,   0.43996,   0.00414,   0.00000,  34.98544, 172.55748,   3.39995,   0.54433,   0.85086,   0.11311
